id,snapshot_url
52561,ftp://ee220cpc3.ecn.purdue.edu/NYS/12747.jpg
52562,ftp://ee220cpc3.ecn.purdue.edu/NYS/12748.jpg
52563,ftp://ee220cpc3.ecn.purdue.edu/NYS/12749.jpg
52564,ftp://ee220cpc3.ecn.purdue.edu/NYS/12750.jpg
52565,ftp://ee220cpc3.ecn.purdue.edu/NYS/12751.jpg
52566,ftp://ee220cpc3.ecn.purdue.edu/NYS/12752.jpg
52567,ftp://ee220cpc3.ecn.purdue.edu/NYS/12753.jpg
52568,ftp://ee220cpc3.ecn.purdue.edu/NYS/12754.jpg
52569,ftp://ee220cpc3.ecn.purdue.edu/NYS/12755.jpg
52570,ftp://ee220cpc3.ecn.purdue.edu/NYS/12756.jpg
52571,ftp://ee220cpc3.ecn.purdue.edu/NYS/12757.jpg
52572,ftp://ee220cpc3.ecn.purdue.edu/NYS/12758.jpg
52573,ftp://ee220cpc3.ecn.purdue.edu/NYS/12759.jpg
52574,ftp://ee220cpc3.ecn.purdue.edu/NYS/12760.jpg
52575,ftp://ee220cpc3.ecn.purdue.edu/NYS/12761.jpg
52576,ftp://ee220cpc3.ecn.purdue.edu/NYS/12762.jpg
52577,ftp://ee220cpc3.ecn.purdue.edu/NYS/12763.jpg
52578,ftp://ee220cpc3.ecn.purdue.edu/NYS/12764.jpg
52579,ftp://ee220cpc3.ecn.purdue.edu/NYS/12765.jpg
52580,ftp://ee220cpc3.ecn.purdue.edu/NYS/12766.jpg
52581,ftp://ee220cpc3.ecn.purdue.edu/NYS/12767.jpg
52582,ftp://ee220cpc3.ecn.purdue.edu/NYS/12768.jpg
52583,ftp://ee220cpc3.ecn.purdue.edu/NYS/12769.jpg
52584,ftp://ee220cpc3.ecn.purdue.edu/NYS/12770.jpg
52585,ftp://ee220cpc3.ecn.purdue.edu/NYS/12771.jpg
52586,ftp://ee220cpc3.ecn.purdue.edu/NYS/12772.jpg
52587,ftp://ee220cpc3.ecn.purdue.edu/NYS/12773.jpg
52588,ftp://ee220cpc3.ecn.purdue.edu/NYS/12774.jpg
